Корпус,Адрес,Тип помещения,Количество помещений,Площадь,Сотрудников
Гимназия 2,"3-я Мытищинская ул., д. 12, стр. 1",Учебные,38,1561.7,0
Мед. коледж,"ул. Будайская, д.2, стр. 18",Учебные,27,1031.8,0
Поликлиника,"Новосущевская ул., д.18",Учебные,12,228.4,0
ГУК-1,"ул. Образцова, д. 9, стр.9",Преподавательские,93,2016.5,199
ГУК-2,"ул. Новосущевская, д.22, стр.1",Преподавательские,54,1121.6,117
ГУК-3,"ул. Новосущевская, д.22, стр.2",Преподавательские,43,1339.0,164
ГУК-4,"ул. Новосущевская, д.22, стр.З",Преподавательские,127,2345.5,169
ГУК-5,"ул. Образцова, д. 9, стр.З",Преподавательские,13,267.1,15
ГУК-6,"Ул. Образцова, д.9, стр.4",Преподавательские,17,233.0,96
ГУК-7,"Минаевский пер., д. 2",Преподавательские,139,2909.5,272
ГУК-10,"ул. Образцова, д. 9, стр.1",Преподавательские,0,0.0,0
ГУК-11,"ул. Новосущевская, д.22, стр.7",Преподавательские,0,0.0,0
ГУК-12,"Новосущевская ул., д.26а",Преподавательские,5,137.4,51
ГУК-13,"ул. Образцова, д.9, стр.7",Преподавательские,0,0.0,0
ГУК-14,"ул. Образцова, д.9, стр.8",Преподавательские,20,382.8,55
РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",Преподавательские,54,1046.3,150
РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",Преподавательские,15,417.0,47
РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",Преподавательские,0,0.0,0
РОАТ УЛК,"3-й Балтийский пер., д. 3",Преподавательские,21,272.2,16
МКТ 1 корпус,"Кучин пер., д.14, стр.1",Преподавательские,8,105.1,10
МКТ 2 корпус,"Кучин пер., д.14, стр.2",Преподавательские,0,0.0,0
МКТ 3 корпус,"Кучин пер., д.14, стр.9",Преподавательские,0,0.0,0
МКТ 4 корпус,"Кучин пер., д.14, стр.15",Преподавательские,4,72.0,10
МКТ  Люблинская,"Люблинская ул., д.88, стр.1",Преподавательские,6,133.5,7
РАПС,"Октябрьский пер., д.7",Преподавательские,14,202.1,199
РАПС 2,"2-й Вышеславцев пер., д.17",Преподавательские,0,0.0,0
ДК,"Новосущевский пер,6,1",Преподавательские,0,0.0,0
ДФК,"ул. Новосущевская, д.24, стр.1",Преподавательские,1,17.4,2
ДФК манеж,"ул. Новосущевская, д.24, стр.2",Преподавательские,2,26.3,6
ДФК ВДНХ,"ул. Космонавтов, д. 11, стр. 2",Преподавательские,1,17.5,3
Гимназия,"2-й Лучевой просек, 5А",Преподавательские,2,16.5,8
Гимназия 2,"3-я Мытищинская ул., д. 12, стр. 1",Преподавательские,2,48.9,11
Мед. коледж,"ул. Будайская, д.2, стр. 18",Преподавательские,17,306.5,44
Поликлиника,"Новосущевская ул., д.18",Преподавательские,20,253.7,83
ГУК-1,"ул. Образцова, д. 9, стр.9",Административные,233,6289.9,315
ГУК-2,"ул. Новосущевская, д.22, стр.1",Административные,80,1513.3,50
ГУК-3,"ул. Новосущевская, д.22, стр.2",Административные,163,5060.3,51
ГУК-4,"ул. Новосущевская, д.22, стр.З",Административные,103,1939.6,118
ГУК-5,"ул. Образцова, д. 9, стр.З",Административные,7,160.9,3
ГУК-6,"Ул. Образцова, д.9, стр.4",Административные,47,1017.3,105
ГУК-7,"Минаевский пер., д. 2",Административные,86,2709.7,120
ГУК-10,"ул. Образцова, д. 9, стр.1",Административные,104,1658.1,176
ГУК-11,"ул. Новосущевская, д.22, стр.7",Административные,6,115.5,6
ГУК-12,"Новосущевская ул., д.26а",Административные,54,1314.6,28
ГУК-13,"ул. Образцова, д.9, стр.7",Административные,27,677.5,36
ГУК-14,"ул. Образцова, д.9, стр.8",Административные,4,114.5,15
РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",Административные,172,3200.6,108
РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",Административные,16,480.7,0
РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",Административные,15,178.1,0
РОАТ УЛК,"3-й Балтийский пер., д. 3",Административные,6,55.8,3
МКТ 1 корпус,"Кучин пер., д.14, стр.1",Административные,63,1537.6,65
МКТ 2 корпус,"Кучин пер., д.14, стр.2",Административные,0,0.0,0
МКТ 3 корпус,"Кучин пер., д.14, стр.9",Административные,25,367.5,23
МКТ 4 корпус,"Кучин пер., д.14, стр.15",Административные,9,173.1,10
МКТ  Люблинская,"Люблинская ул., д.88, стр.1",Административные,44,942.4,29
РАПС,"Октябрьский пер., д.7",Административные,428,3435.2,49
РАПС 2,"2-й Вышеславцев пер., д.17",Административные,6,166.4,11
ДК,"Новосущевский пер,6,1",Административные,73,2300.2,59
ДФК,"ул. Новосущевская, д.24, стр.1",Административные,15,213.9,15
ДФК манеж,"ул. Новосущевская, д.24, стр.2",Административные,5,79.2,18
ДФК ВДНХ,"ул. Космонавтов, д. 11, стр. 2",Административные,0,0.0,0
Гимназия,"2-й Лучевой просек, 5А",Административные,6,134.5,5
Гимназия 2,"3-я Мытищинская ул., д. 12, стр. 1",Административные,11,437.4,14
Мед. коледж,"ул. Будайская, д.2, стр. 18",Административные,12,288.6,21
Поликлиника,"Новосущевская ул., д.18",Административные,83,1142.7,55
ГУК-1,"ул. Образцова, д. 9, стр.9",Вспомогательные,224,5629.4,0
ГУК-2,"ул. Новосущевская, д.22, стр.1",Вспомогательные,199,4989.9,0
ГУК-3,"ул. Новосущевская, д.22, стр.2",Вспомогательные,142,5710.6,0
ГУК-4,"ул. Новосущевская, д.22, стр.З",Вспомогательные,329,8836.6,0
ГУК-5,"ул. Образцова, д. 9, стр.З",Вспомогательные,50,468.9,0
ГУК-6,"Ул. Образцова, д.9, стр.4",Вспомогательные,167,1602.6,0
ГУК-7,"Минаевский пер., д. 2",Вспомогательные,231,6865.7,0
ГУК-10,"ул. Образцова, д. 9, стр.1",Вспомогательные,102,890.9,0
ГУК-11,"ул. Новосущевская, д.22, стр.7",Вспомогательные,23,398.4,0
ГУК-12,"Новосущевская ул., д.26а",Вспомогательные,76,2206.5,0
ГУК-13,"ул. Образцова, д.9, стр.7",Вспомогательные,40,465.2,0
ГУК-14,"ул. Образцова, д.9, стр.8",Вспомогательные,54,1218.4,0
РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",Вспомогательные,270,7491.4,0
РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",Вспомогательные,68,1110.4,0
РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",Вспомогательные,12,381.9,0
РОАТ УЛК,"3-й Балтийский пер., д. 3",Вспомогательные,68,930.5,0
МКТ 1 корпус,"Кучин пер., д.14, стр.1",Вспомогательные,72,1679.4,0
МКТ 2 корпус,"Кучин пер., д.14, стр.2",Вспомогательные,93,2443.2,0
МКТ 3 корпус,"Кучин пер., д.14, стр.9",Вспомогательные,164,1875.5,0
МКТ 4 корпус,"Кучин пер., д.14, стр.15",Вспомогательные,82,2288.5,0
МКТ  Люблинская,"Люблинская ул., д.88, стр.1",Вспомогательные,232,4717.4,0
РАПС,"Октябрьский пер., д.7",Вспомогательные,95,1574.9,0
РАПС 2,"2-й Вышеславцев пер., д.17",Вспомогательные,66,725.0,0
ДК,"Новосущевский пер,6,1",Вспомогательные,116,4386.6,0
ДФК,"ул. Новосущевская, д.24, стр.1",Вспомогательные,60,1714.9,0
ДФК манеж,"ул. Новосущевская, д.24, стр.2",Вспомогательные,13,374.1,0
ДФК ВДНХ,"ул. Космонавтов, д. 11, стр. 2",Вспомогательные,17,715.0,0
Гимназия,"2-й Лучевой просек, 5А",Вспомогательные,72,900.7,0
Гимназия 2,"3-я Мытищинская ул., д. 12, стр. 1",Вспомогательные,125,1570.1,0
Мед. коледж,"ул. Будайская, д.2, стр. 18",Вспомогательные,91,988.3,0
Поликлиника,"Новосущевская ул., д.18",Вспомогательные,142,1487.7,0
ГУК-1,"ул. Образцова, д. 9, стр.9",Неиспользуемые,0,0.0,0
ГУК-2,"ул. Новосущевская, д.22, стр.1",Неиспользуемые,1,13.0,0
ГУК-3,"ул. Новосущевская, д.22, стр.2",Неиспользуемые,0,0.0,0
ГУК-4,"ул. Новосущевская, д.22, стр.З",Неиспользуемые,11,180.9,0
ГУК-5,"ул. Образцова, д. 9, стр.З",Неиспользуемые,0,0.0,0
ГУК-6,"Ул. Образцова, д.9, стр.4",Неиспользуемые,2,42.7,0
ГУК-7,"Минаевский пер., д. 2",Неиспользуемые,2,57.4,0
ГУК-10,"ул. Образцова, д. 9, стр.1",Неиспользуемые,0,0.0,0
ГУК-11,"ул. Новосущевская, д.22, стр.7",Неиспользуемые,0,0.0,0
ГУК-12,"Новосущевская ул., д.26а",Неиспользуемые,0,0.0,0
ГУК-13,"ул. Образцова, д.9, стр.7",Неиспользуемые,0,0.0,0
ГУК-14,"ул. Образцова, д.9, стр.8",Неиспользуемые,0,0.0,0
РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",Неиспользуемые,17,333.5,0
РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",Неиспользуемые,0,0.0,0
РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",Неиспользуемые,37,907.1,0
РОАТ УЛК,"3-й Балтийский пер., д. 3",Неиспользуемые,0,0.0,0
МКТ 1 корпус,"Кучин пер., д.14, стр.1",Неиспользуемые,0,0.0,0
МКТ 2 корпус,"Кучин пер., д.14, стр.2",Неиспользуемые,0,0.0,0
МКТ 3 корпус,"Кучин пер., д.14, стр.9",Неиспользуемые,0,0.0,0
МКТ 4 корпус,"Кучин пер., д.14, стр.15",Неиспользуемые,0,0.0,0
МКТ  Люблинская,"Люблинская ул., д.88, стр.1",Неиспользуемые,0,0.0,0
РАПС,"Октябрьский пер., д.7",Неиспользуемые,0,0.0,0
РАПС 2,"2-й Вышеславцев пер., д.17",Неиспользуемые,0,0.0,0
ДК,"Новосущевский пер,6,1",Неиспользуемые,0,0.0,0
ДФК,"ул. Новосущевская, д.24, стр.1",Неиспользуемые,0,0.0,0
ДФК манеж,"ул. Новосущевская, д.24, стр.2",Неиспользуемые,0,0.0,0
ДФК ВДНХ,"ул. Космонавтов, д. 11, стр. 2",Неиспользуемые,0,0.0,0
Гимназия,"2-й Лучевой просек, 5А",Неиспользуемые,0,0.0,0
Гимназия 2,"3-я Мытищинская ул., д. 12, стр. 1",Неиспользуемые,0,0.0,0
Мед. коледж,"ул. Будайская, д.2, стр. 18",Неиспользуемые,0,0.0,0
Поликлиника,"Новосущевская ул., д.18",Неиспользуемые,0,0.0,0
ГУК-1,"ул. Образцова, д. 9, стр.9",Аварийные,0,0.0,0
ГУК-2,"ул. Новосущевская, д.22, стр.1",Аварийные,0,0.0,0
ГУК-3,"ул. Новосущевская, д.22, стр.2",Аварийные,0,0.0,0
ГУК-4,"ул. Новосущевская, д.22, стр.З",Аварийные,0,0.0,0
ГУК-5,"ул. Образцова, д. 9, стр.З",Аварийные,0,0.0,0
ГУК-6,"Ул. Образцова, д.9, стр.4",Аварийные,0,0.0,0
ГУК-7,"Минаевский пер., д. 2",Аварийные,0,0.0,0
ГУК-10,"ул. Образцова, д. 9, стр.1",Аварийные,0,0.0,0
ГУК-11,"ул. Новосущевская, д.22, стр.7",Аварийные,0,0.0,0
ГУК-12,"Новосущевская ул., д.26а",Аварийные,0,0.0,0
ГУК-13,"ул. Образцова, д.9, стр.7",Аварийные,0,0.0,0
ГУК-14,"ул. Образцова, д.9, стр.8",Аварийные,0,0.0,0
РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",Аварийные,0,0.0,0
РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",Аварийные,0,0.0,0
РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",Аварийные,0,0.0,0
РОАТ УЛК,"3-й Балтийский пер., д. 3",Аварийные,0,0.0,0
МКТ 1 корпус,"Кучин пер., д.14, стр.1",Аварийные,0,0.0,0
МКТ 2 корпус,"Кучин пер., д.14, стр.2",Аварийные,0,0.0,0
МКТ 3 корпус,"Кучин пер., д.14, стр.9",Аварийные,44,521.5,0
МКТ 4 корпус,"Кучин пер., д.14, стр.15",Аварийные,0,0.0,0
МКТ  Люблинская,"Люблинская ул., д.88, стр.1",Аварийные,13,538.6,0
РАПС,"Октябрьский пер., д.7",Аварийные,0,0.0,0
РАПС 2,"2-й Вышеславцев пер., д.17",Аварийные,0,0.0,0
ДК,"Новосущевский пер,6,1",Аварийные,0,0.0,0
ДФК,"ул. Новосущевская, д.24, стр.1",Аварийные,0,0.0,0
ДФК манеж,"ул. Новосущевская, д.24, стр.2",Аварийные,0,0.0,0
ДФК ВДНХ,"ул. Космонавтов, д. 11, стр. 2",Аварийные,0,0.0,0
Гимназия,"2-й Лучевой просек, 5А",Аварийные,0,0.0,0
Гимназия 2,"3-я Мытищинская ул., д. 12, стр. 1",Аварийные,0,0.0,0
Мед. коледж,"ул. Будайская, д.2, стр. 18",Аварийные,0,0.0,0
Поликлиника,"Новосущевская ул., д.18",Аварийные,0,0.0,0
ГУК-1,"ул. Образцова, д. 9, стр.9",Ремонт,3,219.8,0
ГУК-2,"ул. Новосущевская, д.22, стр.1",Ремонт,0,0.0,0
ГУК-3,"ул. Новосущевская, д.22, стр.2",Ремонт,1,115.8,0
ГУК-4,"ул. Новосущевская, д.22, стр.З",Ремонт,0,0.0,0
ГУК-5,"ул. Образцова, д. 9, стр.З",Ремонт,0,0.0,0
ГУК-6,"Ул. Образцова, д.9, стр.4",Ремонт,0,0.0,0
ГУК-7,"Минаевский пер., д. 2",Ремонт,11,306.9,0
ГУК-10,"ул. Образцова, д. 9, стр.1",Ремонт,0,0.0,0
ГУК-11,"ул. Новосущевская, д.22, стр.7",Ремонт,0,0.0,0
ГУК-12,"Новосущевская ул., д.26а",Ремонт,0,0.0,0
ГУК-13,"ул. Образцова, д.9, стр.7",Ремонт,0,0.0,0
ГУК-14,"ул. Образцова, д.9, стр.8",Ремонт,0,0.0,0
РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",Ремонт,0,0.0,0
РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",Ремонт,0,0.0,0
РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",Ремонт,0,0.0,0
РОАТ УЛК,"3-й Балтийский пер., д. 3",Ремонт,0,0.0,0
МКТ 1 корпус,"Кучин пер., д.14, стр.1",Ремонт,0,0.0,0
МКТ 2 корпус,"Кучин пер., д.14, стр.2",Ремонт,0,0.0,0
МКТ 3 корпус,"Кучин пер., д.14, стр.9",Ремонт,0,0.0,0
МКТ 4 корпус,"Кучин пер., д.14, стр.15",Ремонт,0,0.0,0
МКТ  Люблинская,"Люблинская ул., д.88, стр.1",Ремонт,0,0.0,0
РАПС,"Октябрьский пер., д.7",Ремонт,0,0.0,0
РАПС 2,"2-й Вышеславцев пер., д.17",Ремонт,0,0.0,0
ДК,"Новосущевский пер,6,1",Ремонт,0,0.0,0
ДФК,"ул. Новосущевская, д.24, стр.1",Ремонт,0,0.0,0
ДФК манеж,"ул. Новосущевская, д.24, стр.2",Ремонт,0,0.0,0
ДФК ВДНХ,"ул. Космонавтов, д. 11, стр. 2",Ремонт,0,0.0,0
Гимназия,"2-й Лучевой просек, 5А",Ремонт,0,0.0,0
Гимназия 2,"3-я Мытищинская ул., д. 12, стр. 1",Ремонт,0,0.0,0
Мед. коледж,"ул. Будайская, д.2, стр. 18",Ремонт,0,0.0,0
Поликлиника,"Новосущевская ул., д.18",Ремонт,0,0.0,0
,,,7232,,3242
