Unnamed: 0,Понедельник  2 мая,Вторник  3 мая,Среда  4 мая,Четверг  5 мая,Пятница  6 мая,Суббота  7 мая,Вторник,Среда,Четверг,Пятница,Понедельник
3 пара  11:20 — 12:50,Лекция  Основы вычислительной техники  Желенков Б.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,,,Практическое занятие  Проектная деятельность  Голдовский Я.М.  Аудитория 1327,Практическое занятие  Россия в глобальной истории  Танцевова А.В.  Аудитория 1529,,,,,,
4 пара  13:20 — 14:50,Лекция  Физическая культура и спорт  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лекция  Математика  Черников Г.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,,Практическое занятие  Математика  Меренкова Т.В.  Аудитория 1416,Лабораторная работа  Алгоритмизация и программирование  Дегтерев А.В. Никольская М.Н.  Аудитория 1320,,,,,,
5 пара  15:00 — 16:30,,Лекция  Физика  Кошелкин А.В.  Аудитория 1523  УИБ-111 УИБ-112 УИБ-113,,Практическое занятие  Физика  Кошелкин А.В.  Аудитория 14322,Практическое занятие  Математика  Меренкова Т.В.  Аудитория 1518,,,,,,
6 пара  16:40 — 18:10,,Практическое занятие  Иностранный язык  Кашевская А.М.  Аудитория 2405,,,,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Проектная деятельность  Цыганова Н.А.  Аудитория 1308а,,,Практическое занятие  Россия в глобальной истории  Танцевова А.В.  Аудитория 1529,,,,,,,
2 пара  09:40 — 11:10,Лекция  Алгоритмизация и программирование  Цыганова Н.А.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лабораторная работа  Физика  Аудитория 14206 Аудитория 14207,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Краснов С.В. Милешина М.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Математика  Гиоргадзе М.Г.  Аудитория 1524,,,,,,,
3 пара  11:20 — 12:50,Лекция  Основы вычислительной техники  Желенков Б.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лекция  Физика  Кошелкин А.В.  Аудитория 1553  УИБ-114 УИБ-115 УИБ-116,Лабораторная работа  Алгоритмизация и программирование  Дегтерев А.В. Никольская М.Н.  Аудитория 1330,Практическое занятие  Физика  Кошелкин А.В.  Аудитория 1416,,,,,,,
4 пара  13:20 — 14:50,Лекция  Физическая культура и спорт  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лекция  Математика  Черников Г.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Краснов С.В. Милешина М.В.  Аудитория 1541,,,,,,,,
5 пара  15:00 — 16:30,,Практическое занятие  Иностранный язык  Глаголев А.Б. Мирзабекова А.А.  Аудитория 1002 Аудитория 1003,,,Практическое занятие  Математика  Гиоргадзе М.Г.  Аудитория 1121,,,,,,
6 пара  16:40 — 18:10,,Практическое занятие  Иностранный язык  Мирзабекова А.А.  Аудитория 1002,,,Практическое занятие  Проектная деятельность  Цыганова Н.А.  Аудитория 1308а,,,,,,
1 пара  08:00 — 09:30,,Практическое занятие  Иностранный язык  Петренко Т.В.  Аудитория 1003,Практическое занятие  Иностранный язык  Щербак С.Ф.  Аудитория 1527,Лабораторная работа  Алгоритмизация и программирование  Панькина К.Е. Романенко А.Р.  Аудитория 1330,,,,,,,
2 пара  09:40 — 11:10,Лекция  Алгоритмизация и программирование  Цыганова Н.А.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Иностранный язык  Петренко Т.В.  Аудитория 1003,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Краснов С.В. Милешина М.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Россия в глобальной истории  Танцевова А.В.  Аудитория 1529,,,,,,,
3 пара  11:20 — 12:50,Лекция  Основы вычислительной техники  Желенков Б.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лекция  Физика  Кошелкин А.В.  Аудитория 1553  УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Проектная деятельность  Панькина К.Е.  Аудитория 1308а,Практическое занятие  Проектная деятельность  Панькина К.Е.  Аудитория 1308а,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 1121,,,,,,
4 пара  13:20 — 14:50,Лекция  Физическая культура и спорт  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лекция  Математика  Черников Г.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Математика  Меренкова Т.В.  Аудитория 1518,Практическое занятие  Физика  Кошелкин А.В.  Аудитория 14322,Практическое занятие  Математика  Меренкова Т.В.  Аудитория 1121,,,,,,
5 пара  15:00 — 16:30,,,,,Практическое занятие  Основы вычислительной техники  Желенков Б.В.  Аудитория 1329,,,,,,
6 пара  16:40 — 18:10,,,,,Практическое занятие  Иностранный язык  Щербак С.Ф.  Аудитория 1003,,,,,,
1 пара  08:00 — 09:30,,,Лабораторная работа  Алгоритмизация и программирование  Панькина К.Е. Романенко А.Р.  Аудитория 1330,,,,,,,,
2 пара  09:40 — 11:10,Лекция  Алгоритмизация и программирование  Цыганова Н.А.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Физика  Кошелкин А.В.  Аудитория 14322,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Краснов С.В. Милешина М.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Математика  Чунихина И.А.  Аудитория 1518,,,,,,,
3 пара  11:20 — 12:50,Лекция  Основы вычислительной техники  Желенков Б.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лекция  Физика  Кошелкин А.В.  Аудитория 1553  УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Проектная деятельность  Малинский С.В.  Аудитория 1308б,Практическое занятие  Россия в глобальной истории  Танцевова А.В.  Аудитория 1529,Практическое занятие  Основы вычислительной техники  Желенков Б.В.  Аудитория 1329,,,,,,
4 пара  13:20 — 14:50,Лекция  Физическая культура и спорт  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Лекция  Математика  Черников Г.В.  Аудитория 1334  УИБ-111 УИБ-112 УИБ-113 УИБ-114 УИБ-115 УИБ-116,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Краснов С.В. Милешина М.В.  Аудитория 1525,,Практическое занятие  Проектная деятельность  Малинский С.В.  Аудитория 1140,,,,,,
5 пара  15:00 — 16:30,,Практическое занятие  Иностранный язык  Кашевская А.М. Ляхова Е.Г.  Аудитория 1037 Аудитория 1039,,,Практическое занятие  Математика  Чунихина И.А.  Аудитория 1307,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Русский язык как иностранный  Костина А.А.,,Практическое занятие  Проектная деятельность  Козьяков П.О.  Аудитория 1407,Лекция  Физическая культура и спорт  УИС-111 УИС-112,,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Русский язык как иностранный  Костина А.А.,Практическое занятие  Математика  Антонова Е.В.  Аудитория 1518,Практическое занятие  Программирование Самохвалов А.И.  Аудитория 1408,Практическое занятие  Проектная деятельность  Козьяков П.О.  Аудитория 1407,,,,,,,
3 пара  11:20 — 12:50,Лабораторная работа  Программирование Савушкин С.А.  Аудитория 1408  УИС-111 п/гр.1,Практическое занятие  Россия в глобальной истории  Руднева С.Е.  Аудитория 1524,Практическое занятие  Иностранный язык  Душина И.В.  Аудитория 1309б,Лекция  Россия в глобальной истории  Руднева С.Е.  Аудитория 1323  УВП-111 УВП-112 УВП-113 УИС-111 УИС-112,Лабораторная работа  Программирование Савушкин С.А.  Аудитория 1408  УИС-111 п/гр.2,,,,,,
4 пара  13:20 — 14:50,Лекция  Основы вычислительной техники  Цыганова Н.А.  Аудитория 1329  УИС-111 УИС-112,Лекция  Математика  Антонова Е.В.  Аудитория 1553  УВП-111 УИС-111 УИС-112,,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Апполонова Л.П. Чунихина И.А.  Аудитория 1525,Лекция  Программирование Павлов А.Ю.  Аудитория 1306  УИС-111 УИС-112,,,,,,
5 пара  15:00 — 16:30,Лекция  Физика  Иванова Е.В.  Аудитория 14209  УИС-111 УИС-112,Лабораторная работа; Практическое занятие  Иностранный язык; Русский язык как иностранный  Костина А.А. Щербак С.Ф.  Аудитория 1038,,,Практическое занятие  Основы вычислительной техники  Цыганова Н.А.  Аудитория 1140,,,,,,
6 пара  16:40 — 18:10,Практическое занятие  Физика  Иванова Е.В.  Аудитория 14322,Лабораторная работа; Практическое занятие  Иностранный язык; Русский язык как иностранный  Костина А.А. Щербак С.Ф.  Аудитория 1039,,,,,,,,,
1 пара  08:00 — 09:30,,,Практическое занятие  Иностранный язык  Колос Л.Е.  Аудитория 1038,Лекция  Физическая культура и спорт  УИС-111 УИС-112,,,,,,,
2 пара  09:40 — 11:10,,Практическое занятие  Россия в глобальной истории  Руднева С.Е.  Аудитория 1524,Практическое занятие  Проектная деятельность  Победоносцева А.И.  Аудитория 1407,Практическое занятие  Программирование Самохвалов А.И.  Аудитория 1408,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Основы вычислительной техники  Цыганова Н.А.  Аудитория 1329,Практическое занятие  Математика  Антонова Е.В.  Аудитория 1518,Практическое занятие  Проектная деятельность  Победоносцева А.И.  Аудитория 1407,Лекция  Россия в глобальной истории  Руднева С.Е.  Аудитория 1323  УВП-111 УВП-112 УВП-113 УИС-111 УИС-112,Лабораторная работа  Программирование Нечитайло Н.М.  Аудитория 1313  УИС-112 п/гр.1,,,,,,
4 пара  13:20 — 14:50,Лекция  Основы вычислительной техники  Цыганова Н.А.  Аудитория 1329  УИС-111 УИС-112,Лекция  Математика  Антонова Е.В.  Аудитория 1553  УВП-111 УИС-111 УИС-112,Практическое занятие  Иностранный язык  Щербак С.Ф.  Аудитория 1309б,,Лекция  Программирование Павлов А.Ю.  Аудитория 1306  УИС-111 УИС-112,,,,,,
5 пара  15:00 — 16:30,Лекция  Физика  Иванова Е.В.  Аудитория 14209  УИС-111 УИС-112,,,,Лабораторная работа  Программирование Нечитайло Н.М.  Аудитория 1313  УИС-112 п/гр.2,,,,,,
6 пара  16:40 — 18:10,Лабораторная работа  Физика  Аудитория 14206 Аудитория 14207,,,,,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Русский язык как иностранный  Костина А.А.,Практическое занятие  Россия в глобальной истории  Руднева С.Е.  Аудитория 1518,Практическое занятие  Иностранный язык  Петренко Т.В.  Аудитория 1320,Лекция  Физическая культура и спорт  УМЛ-111 УМЛ-112 УМЛ-113,,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Русский язык как иностранный  Костина А.А.,Практическое занятие  Математика  Захаров Д.Д.  Аудитория 1416,Практическое занятие  Иностранный язык  Ишаева О.В. Петренко Т.В.  Аудитория 1002 Аудитория 1320,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1528,,,,,,,
3 пара  11:20 — 12:50,,Практическое занятие  Информационные технологии и системы в управлении  Сосновская А.В.  Аудитория 1140,Практическое занятие  Проектная деятельность  Кузьмин Д.В.  Аудитория 1204,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1334  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111 УПМ-111 УПМ-112,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 1121,,,,,,
4 пара  13:20 — 14:50,Лекция  Информационные технологии и системы в управлении  Новиков А.И.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,Практическое занятие  Проектная деятельность  Кузьмин Д.В.  Аудитория 1204,,Лекция  Математика  Захаров Д.Д.  Аудитория 1540  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,,,,,
5 пара  15:00 — 16:30,Лекция  Общий курс транспорта  Колин А.В.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,Практическое занятие  Русский язык как иностранный  Костина А.А.,Лекция  Теория менеджмента  Мухина И.И.  Аудитория 1523  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,Практическое занятие  Общий курс транспорта  Бакин А.А.  Аудитория 1318,,,,,,
6 пара  16:40 — 18:10,,Практическое занятие  Русский язык как иностранный  Костина А.А.,,,Практическое занятие  Теория менеджмента  Мухина И.И.  Аудитория 1204,,,,,,
1 пара  08:00 — 09:30,,,,Лекция  Физическая культура и спорт  УМЛ-111 УМЛ-112 УМЛ-113,,,,,,,
2 пара  09:40 — 11:10,,,,Практическое занятие  Иностранный язык  Ишаева О.В. Петренко Т.В.  Аудитория 1309б Аудитория 1320,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Иностранный язык  Ишаева О.В.  Аудитория 1037,Практическое занятие  Теория менеджмента  Мухина И.И.  Аудитория 1204,,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1334  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111 УПМ-111 УПМ-112,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 1121,,,,,,
4 пара  13:20 — 14:50,Лекция  Информационные технологии и системы в управлении  Новиков А.И.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,Практическое занятие  Информационные технологии и системы в управлении  Сосновская А.В.  Аудитория 1408,,Практическое занятие  Общий курс транспорта  Бакин А.А.  Аудитория 1321,Лекция  Математика  Захаров Д.Д.  Аудитория 1540  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,,,,,
5 пара  15:00 — 16:30,Лекция  Общий курс транспорта  Колин А.В.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,Практическое занятие  Россия в глобальной истории  Руднева С.Е.  Аудитория 1524,Лекция  Теория менеджмента  Мухина И.И.  Аудитория 1523  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,Практическое занятие  Проектная деятельность  Кузьмин Д.В.  Аудитория 1204,,,,,,
6 пара  16:40 — 18:10,,Практическое занятие  Иностранный язык  Петренко Т.В.  Аудитория 1308б,Практическое занятие  Проектная деятельность  Кузьмин Д.В.  Аудитория 1204,,Практическое занятие  Математика  Захаров Д.Д.  Аудитория 1416,,,,,,
1 пара  08:00 — 09:30,,,,Лекция  Физическая культура и спорт  УМЛ-111 УМЛ-112 УМЛ-113,,,,,,,
2 пара  09:40 — 11:10,,,,Практическое занятие  Математика  Захаров Д.Д.  Аудитория 1308б,Практическое занятие  Проектная деятельность  Кузьмин Д.В.  Аудитория 1204,,,,,,
3 пара  11:20 — 12:50,,Практическое занятие  Иностранный язык  Ишаева О.В. Петренко Т.В.  Аудитория 1038 Аудитория 1320,,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1334  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111 УПМ-111 УПМ-112,Практическое занятие  Проектная деятельность  Кузьмин Д.В.  Аудитория 1204,,,,,,
4 пара  13:20 — 14:50,Лекция  Информационные технологии и системы в управлении  Новиков А.И.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,Практическое занятие  Теория менеджмента  Мухина И.И.  Аудитория 1204,,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1527,Лекция  Математика  Захаров Д.Д.  Аудитория 1540  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,,,,,
5 пара  15:00 — 16:30,Лекция  Общий курс транспорта  Колин А.В.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,Практическое занятие  Общий курс транспорта  Ершов А.Д.  Аудитория 1318,Лекция  Теория менеджмента  Мухина И.И.  Аудитория 1523  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,,,,,,,
6 пара  16:40 — 18:10,,Практическое занятие  Россия в глобальной истории  Руднева С.Е.  Аудитория 1518,Практическое занятие  Информационные технологии и системы в управлении  Новиков А.И.  Аудитория 1140,,,,,,,,
7 пара  18:20 — 19:50,Практическое занятие  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Скворцов К.В. Чунихина И.А.  Аудитория 1553,Практическое занятие  Математика  Гребенюк М.П.  Аудитория 1524,Практическое занятие  Россия в глобальной истории  Кочетков Е.Е.  Аудитория 1524,Лекция  Техники публичного выступления  Скворцов К.В.  Аудитория 2305,,,,,,,
8 пара  20:00 — 21:30,Практическое занятие  Проектная деятельность  Сысоева Е.А.  Аудитория 1207,Практическое занятие  Иностранный язык  Щербак С.Ф.  Аудитория 1524,,Лекция; Практическое занятие  Тайм-менеджмент и личная эффективность  Чунихина И.А.  Аудитория 2305  УВП-191 УМЛ-191,,,,,,,
1 пара  08:00 — 09:30,,,,Практическое занятие  Физическая культура и спорт,,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Иностранный язык; Русский язык как иностранный  Борисенко Я.А. Костина А.А.  Аудитория 1121,Практическое занятие  Теория менеджмента  Мухина И.И.  Аудитория 1204,,Практическое занятие  Иностранный язык  Ерастова Д.А.  Аудитория 5301,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Математика  Исаков А.В.  Аудитория 1309б,Практическое занятие  Информационные технологии и системы в управлении  Самохвалов А.И.  Аудитория 1309б,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 1121,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1334  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111 УПМ-111 УПМ-112,Практическое занятие  Проектная деятельность  Красильников П.А.  Аудитория 1318,,,,,,
4 пара  13:20 — 14:50,Лекция  Информационные технологии и системы в управлении  Новиков А.И.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,Практическое занятие  Россия в глобальной истории  Руднева С.Е.  Аудитория 1518,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 1121,Практическое занятие  Проектная деятельность  Красильников П.А.  Аудитория 1318,Лекция  Математика  Захаров Д.Д.  Аудитория 1540  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,,,,,
5 пара  15:00 — 16:30,Лекция  Общий курс транспорта  Колин А.В.  Аудитория 1541  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,Практическое занятие  Русский язык как иностранный  Костина А.А.  Аудитория 1320,Лекция  Теория менеджмента  Мухина И.И.  Аудитория 1523  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111,,Практическое занятие  Иностранный язык  Кудрявцева Е.В.  Аудитория 1540,,,,,,
6 пара  16:40 — 18:10,Практическое занятие  Иностранный язык  Кудрявцева Е.В.  Аудитория 1320,Практическое занятие  Русский язык как иностранный  Костина А.А.,Практическое занятие  Общий курс транспорта  Ершов А.Д.  Аудитория 1318,,,,,,,,
7 пара  18:20 — 19:50,Практическое занятие  Управление жизненным циклом объектов инфраструктуры  Дроздова И.И.  Аудитория 1321,Практическое занятие  Исследования и испытания наземных транспортно-технологических машин  Сладкова Л.А.  Аудитория 4331,,Практическое занятие  Прикладная математика  Филимонов А.М.  Аудитория 1319,,,,,,,
8 пара  20:00 — 21:30,Лекция  Управление жизненным циклом объектов инфраструктуры  Дроздова И.И.  Аудитория 1525  УНК-151 УНК-152,,,,,,,,,,
7 пара  18:20 — 19:50,Практическое занятие  Технико-технологическое обеспечение мультимодальных перевозок  Кизим О.В.  Аудитория 1318,,,Практическое занятие  Исследования и испытания наземных транспортно-технологических машин  Сладкова Л.А.  Аудитория 4331,,,,,,,
8 пара  20:00 — 21:30,Лекция  Управление жизненным циклом объектов инфраструктуры  Дроздова И.И.  Аудитория 1525  УНК-151 УНК-152,,,Практическое занятие  Конструирование и расчёт наземных транспортно-технологических машин  Сладкова Л.А.  Аудитория 4331,,,,,,,
7 пара  18:20 — 19:50,Лекция  Анализ коньюктуры и диверсификация рынка транспортных услуг  Бутыркин А.Я.  Аудитория 1323,Лекция  Бизнес-аналитика  Дроздова И.И.  Аудитория 1321,,Лекция  Процессное управление  Бутыркин А.Я.  Аудитория 1321,,,,,,,
8 пара  20:00 — 21:30,Практическое занятие  Анализ коньюктуры и диверсификация рынка транспортных услуг  Бутыркин А.Я.  Аудитория 1321,Практическое занятие  Бизнес-аналитика  Дроздова И.И.  Аудитория 1321,,Практическое занятие  Деловой иностранный Грубин И.В.  Аудитория 1524,,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Иностранный язык  Капустин И.В.  Аудитория 1038,,Практическое занятие  Программирование Дутова Е.А.  Аудитория 1140,Практическое занятие  Тайм-менеджмент и личная эффективность  Милешина М.В. Непряхина Т.В.  Аудитория 1528,,,,,,,
2 пара  09:40 — 11:10,Лабораторная работа  Программирование Бойков П.А. Дутова Е.А.  Аудитория 1140,,Лекция  Программирование Разживайкин И.С.  Аудитория 1523  УВП-111 УВП-112 УВП-113 УПМ-111 УПМ-112,Лекция  Математический анализ  Чумерина Е.С.  Аудитория 1527  УПМ-111 УПМ-112,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Россия в глобальной истории  Танцевова А.В.  Аудитория 1524,Практическое занятие  Физика  Кокин С.М.  Аудитория 14322,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 1121,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1334  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111 УПМ-111 УПМ-112,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 1121,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Иностранный язык  Капустин И.В.  Аудитория 1038,Лекция  Физика  Кокин С.М.  Аудитория 14209  УПМ-111 УПМ-112,Практическое занятие  Иностранный язык  Гусева Р.Г.  Аудитория 1121,Практическое занятие  Математический анализ  Чумерина Е.С.  Аудитория 1524,Лекция  Алгебра и аналитическая геометрия  Арутюнян Е.Б.  Аудитория 1527  УПМ-111 УПМ-112,,,,,,
5 пара  15:00 — 16:30,,Практическое занятие  Проектная деятельность  Турцынский М.К.  Аудитория 1140,,Лекция  Физическая культура и спорт  УПМ-111 УПМ-112,Практическое занятие  Алгебра и аналитическая геометрия  Арутюнян Е.Б.  Аудитория 1524,,,,,,
6 пара  16:40 — 18:10,,Практическое занятие  Иностранный язык  Колос Л.Е.  Аудитория 1038,,,Практическое занятие  Проектная деятельность  Турцынский М.К.  Аудитория 1140,,,,,,
1 пара  08:00 — 09:30,,,Практическое занятие  Математический анализ  Чумерина Е.С.  Аудитория 1524,Практическое занятие  Математический анализ  Чумерина Е.С.  Аудитория 1524,Практическое занятие  Иностранный язык  Шашкарова М.В.  Аудитория 1038,,,,,,
2 пара  09:40 — 11:10,,,Лекция  Программирование Разживайкин И.С.  Аудитория 1523  УВП-111 УВП-112 УВП-113 УПМ-111 УПМ-112,Лекция  Математический анализ  Чумерина Е.С.  Аудитория 1527  УПМ-111 УПМ-112,Практическое занятие  Иностранный язык  Шашкарова М.В.  Аудитория 1038,,,,,,
3 пара  11:20 — 12:50,Лабораторная работа  Программирование Бойков П.А. Дутова Е.А.  Аудитория 1140,,Практическое занятие  Программирование Дутова Е.А.  Аудитория 1140,Лекция  Тайм-менеджмент и личная эффективность; Техники публичного выступления  Милешина М.В. Непряхина Т.В.  Аудитория 1334  УМЛ-111 УМЛ-112 УМЛ-113 УМН-111 УПМ-111 УПМ-112,Практическое занятие  Алгебра и аналитическая геометрия  Арутюнян Е.Б.  Аудитория 1524,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Россия в глобальной истории  Танцевова А.В.  Аудитория 1524,Лекция  Физика  Кокин С.М.  Аудитория 14209  УПМ-111 УПМ-112,,Практическое занятие  Проектная деятельность  Братусь А.С.  Аудитория 1319,Лекция  Алгебра и аналитическая геометрия  Арутюнян Е.Б.  Аудитория 1527  УПМ-111 УПМ-112,,,,,,
5 пара  15:00 — 16:30,Лабораторная работа  Физика  Аудитория 14206 Аудитория 14207,Практическое занятие  Проектная деятельность  Братусь А.С.  Аудитория 1319,,Лекция  Физическая культура и спорт  УПМ-111 УПМ-112,Практическое занятие  Иностранный язык  Гализина Е.Г.  Аудитория 1038,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Иностранный язык  Борисенко Я.А. Климашева О.В. Плужникова И.И.  Аудитория 1037 Аудитория 1039 Аудитория 1121,Практическое занятие  Иностранный язык  Лямина И.М.  Аудитория 1121,,Практическое занятие  Физическая культура и спорт,,,,,,,
3 пара  11:20 — 12:50,Лекция  Математика  Родина Е.В.  Аудитория 1541  УТА-111 УТН-111 УТН-112,Практическое занятие  Философия и основы критического мышления  Садикова О.Г.  Аудитория 8411,Практическое занятие  История транспорта  Федякин А.В.  Аудитория 1416,Лекция  Химия и инженерная экология  Пашинин В.А.  Аудитория 1541,Практическое занятие  Иностранный язык  Сидельникова Е.М.  Аудитория 1121,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Иностранный язык  Климашева О.В. Плужникова И.И.  Аудитория 1002 Аудитория 1039,Практическое занятие  Инженерная компьютерная графика  Бичева Т.А. Гвоздев А.Д.  Аудитория 2414,Практическое занятие  Физика  Мухин С.В.  Аудитория 1309а,Практическое занятие  Математика  Родина Е.В.  Аудитория 1307,Лабораторная работа  Химия и инженерная экология  Ануфриева С.М. Асманкин Е.Г.  Аудитория 5106,,,,,,
5 пара  15:00 — 16:30,,Практическое занятие  Управление конфликтами  Штепа Т.В.  Аудитория 1527,Лекция  Физика  Мухин С.В.  Аудитория 14209  УТА-111 УТН-111 УТН-112,Практическое занятие  Проектная деятельность  Ефимов Р.А. Тимкова А.Ю.  Аудитория 1506,Лекция  Инженерная компьютерная графика  Болотина А.Б.  Аудитория 1541  УТА-111 УТН-111 УТН-112,,,,,,
6 пара  16:40 — 18:10,,,Лекция  История транспорта  Федякин А.В.  Аудитория 1334  УЗС-111 УТА-111 УТЕ-111 УТЕ-112 УТН-111 УТН-112 УТЦ-111,Практическое занятие  Проектная деятельность  Ефимов Р.А. Тимкова А.Ю.  Аудитория 1506,,,,,,,
1 пара  08:00 — 09:30,Практическое занятие  Физика  Пауткина А.В.  Аудитория 14322,Практическое занятие  Математика  Антонова Е.В.  Аудитория 1039,,Практическое занятие  Управление конфликтами  Штепа Т.В.  Аудитория 1527,,,,,,,
2 пара  09:40 — 11:10,Практическое занятие  Инженерная компьютерная графика  Бичева Т.А. Ларина С.В.  Аудитория 2414,Лабораторная работа  Химия и инженерная экология  Ануфриева С.М. Асманкин Е.Г.  Аудитория 5106,,Лекция  Физика  Пауткина А.В.  Аудитория 1523  УТЕ-111 УТЕ-112 УТЦ-111,,,,,,,
