№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
15,16.12.2021четверг,12.2,13.5,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Математика,106,502 (I),проф. Максимова Людмила Анатольевна
16,16.12.2021четверг,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Математика,106,502 (I),проф. Максимова Людмила Анатольевна
17,16.12.2021четверг,16.1,16.55,орг. собрание,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Библиотечный урок,106,250 (I),Климова Анна Федоровна
18,17.12.2021пятница,9.0,10.3,прак. занятие,ЗМЛ-1912,,Техники публичного выступления,29,512 (I),ст. преп. Банцер Екатерина Игоревна
19,17.12.2021пятница,10.4,12.1,прак. занятие,ЗМЛ-1912,,Техники публичного выступления,29,512 (I),ст. преп. Банцер Екатерина Игоревна
20,17.12.2021пятница,12.2,13.5,прак. занятие,ЗМЛ-1912,,Основы комплексной безопасности,29,109 (III),асс. Самойлов Вадим Вадимович
21,17.12.2021пятница,14.3,16.0,прак. занятие,ЗМЛ-1912,,Основы комплексной безопасности,29,109 (III),асс. Самойлов Вадим Вадимович
22,18.12.2021суббота,9.0,10.3,лекция,"ЗМЛ-1912, ЗМЛ-1911, ЗМЛ-1913, ЗМЛ-1914",,Цифровая экономика,106,516 (I),ст. преп. Танифа Дмитрий Сергеевич
23,18.12.2021суббота,10.4,12.1,лекция,"ЗМЛ-1912, ЗМЛ-1911, ЗМЛ-1913, ЗМЛ-1914",,Цифровая экономика,106,516 (I),ст. преп. Танифа Дмитрий Сергеевич
24,18.12.2021суббота,12.2,13.5,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Философия и основы критического мышления,106,516 (I),ст. преп. Лонский Ярослав Александрович
25,18.12.2021суббота,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Философия и основы критического мышления,106,516 (I),ст. преп. Лонский Ярослав Александрович
26,20.12.2021понедельник,9.0,10.3,прак. занятие,ЗМЛ-1912,,Математика,29,533 (I),проф. Максимова Людмила Анатольевна
27,20.12.2021понедельник,10.4,12.1,прак. занятие,ЗМЛ-1912,,Математика,29,533 (I),проф. Максимова Людмила Анатольевна
28,20.12.2021понедельник,12.2,13.5,прак. занятие,ЗМЛ-1912,,Тайм-менеджмент и личная эффективность,29,514 (I),доц. Панько Юлия Владимировна
29,20.12.2021понедельник,14.3,16.0,прак. занятие,ЗМЛ-1912,,Тайм-менеджмент и личная эффективность,29,514 (I),доц. Панько Юлия Владимировна
30,21.12.2021вторник,9.0,10.3,прак. занятие,ЗМЛ-1912,,Управление конфликтами,29,513 (I),преп. Сетин Алексей Николаевич
31,21.12.2021вторник,10.4,12.1,прак. занятие,ЗМЛ-1912,,Управление конфликтами,29,513 (I),преп. Сетин Алексей Николаевич
32,21.12.2021вторник,12.2,13.5,прак. занятие,ЗМЛ-1912,,Россия в глобальной истории,29,371 (II),доц. Блонский Леонид Владимирович
33,21.12.2021вторник,14.3,16.0,прак. занятие,ЗМЛ-1912,,Россия в глобальной истории,29,371 (II),доц. Блонский Леонид Владимирович
34,22.12.2021среда,9.0,10.3,прак. занятие,ЗМЛ-1912,,Цифровая экономика,29,371 (II),ст. преп. Танифа Дмитрий Сергеевич
35,22.12.2021среда,10.4,12.1,прак. занятие,ЗМЛ-1912,,Цифровая экономика,29,371 (II),ст. преп. Танифа Дмитрий Сергеевич
36,22.12.2021среда,12.2,13.5,прак. занятие,ЗМЛ-1912,,Математика,29,533 (I),проф. Максимова Людмила Анатольевна
37,22.12.2021среда,14.3,16.0,прак. занятие,ЗМЛ-1912,,Математика,29,533 (I),проф. Максимова Людмила Анатольевна
38,23.12.2021четверг,9.0,10.3,зачет,ЗМЛ-1912,,Тайм-менеджмент и личная эффективность,29,514 (I),доц. Панько Юлия Владимировна
39,23.12.2021четверг,10.4,12.1,зачет,ЗМЛ-1912,,Тайм-менеджмент и личная эффективность,29,514 (I),доц. Панько Юлия Владимировна
40,24.12.2021пятница,12.2,13.5,прак. занятие,ЗМЛ-1912,,Цифровая экономика,29,371 (II),ст. преп. Танифа Дмитрий Сергеевич
41,24.12.2021пятница,14.3,16.0,прак. занятие,ЗМЛ-1912,,Цифровая экономика,29,371 (II),ст. преп. Танифа Дмитрий Сергеевич
42,14.02.2022понедельник,9.0,10.3,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Правовая культура,106,520 (I),ст. преп. Шакеров Рустам Равилевич
43,14.02.2022понедельник,10.4,12.1,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Правовая культура,106,520 (I),ст. преп. Шакеров Рустам Равилевич
44,14.02.2022понедельник,12.2,13.5,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
45,14.02.2022понедельник,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Математика,106,520 (I),проф. Максимова Людмила Анатольевна
46,14.02.2022понедельник,16.1,17.4,лекция,"ЗМЛ-1914, ЗМЛ-1913, ЗМЛ-1912, ЗМЛ-1911",,Экономическая теория,106,520 (I),доц. Комов Михаил Сергеевич
47,15.02.2022вторник,9.0,10.3,лекция,"ЗМЛ-1914, ЗМЛ-1913, ЗМЛ-1912, ЗМЛ-1911",,Математика,106,502 (I),проф. Максимова Людмила Анатольевна
48,15.02.2022вторник,10.4,12.1,лекция,"ЗМЛ-1914, ЗМЛ-1913, ЗМЛ-1912, ЗМЛ-1911",,Математика,106,502 (I),проф. Максимова Людмила Анатольевна
49,15.02.2022вторник,12.2,13.5,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Информационные технологии и системы в управлении,106,502 (I),доц. Неваров Павел Анатольевич
50,15.02.2022вторник,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Информационные технологии и системы в управлении,106,502 (I),доц. Неваров Павел Анатольевич
51,15.02.2022вторник,16.1,17.4,лекция,"ЗМЛ-1914, ЗМЛ-1913, ЗМЛ-1912, ЗМЛ-1911",,Экономическая теория,106,502 (I),доц. Комов Михаил Сергеевич
52,16.02.2022среда,11.25,12.1,консультация,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Цифровая экономика,106,516 (I),ст. преп. Танифа Дмитрий Сергеевич
53,16.02.2022среда,12.2,13.5,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Философия и основы критического мышления,106,516 (I),ст. преп. Лонский Ярослав Александрович
54,16.02.2022среда,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Философия и основы критического мышления,106,516 (I),ст. преп. Лонский Ярослав Александрович
55,16.02.2022среда,16.1,17.4,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Экономическая теория,106,502 (I),доц. Комов Михаил Сергеевич
56,16.02.2022среда,17.5,19.2,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Экономическая теория,106,502 (I),доц. Комов Михаил Сергеевич
57,17.02.2022четверг,9.0,10.3,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,106 (III),асс. Носкова Анна Ивановна
58,17.02.2022четверг,10.4,12.1,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,106 (III),асс. Носкова Анна Ивановна
59,17.02.2022четверг,12.2,13.5,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,106 (III),асс. Носкова Анна Ивановна
60,17.02.2022четверг,14.3,16.0,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,106 (III),асс. Носкова Анна Ивановна
61,18.02.2022пятница,9.0,10.3,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,266 (II),асс. Носкова Анна Ивановна
62,18.02.2022пятница,10.4,12.1,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,266 (II),асс. Носкова Анна Ивановна
63,18.02.2022пятница,12.2,13.5,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,266 (II),асс. Носкова Анна Ивановна
64,18.02.2022пятница,14.3,16.0,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,266 (II),асс. Носкова Анна Ивановна
65,19.02.2022суббота,9.0,10.3,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,512 (I),асс. Носкова Анна Ивановна
66,19.02.2022суббота,10.4,12.1,прак. занятие,ЗМЛ-1912,,Иностранный язык (английский),29,512 (I),асс. Носкова Анна Ивановна
67,19.02.2022суббота,12.2,13.5,прак. занятие,,ЗМЛ-1912-1,Информационные технологии и системы в управлении,15,313а (I),асс. Малых Алексей Николаевич
68,19.02.2022суббота,12.2,13.5,прак. занятие,,ЗМЛ-1912-2,Информационные технологии и системы в управлении,14,314 (I),асс. Истомин Александр Владимирович
69,19.02.2022суббота,14.3,16.0,прак. занятие,,ЗМЛ-1912-1,Информационные технологии и системы в управлении,15,313а (I),асс. Малых Алексей Николаевич
70,19.02.2022суббота,14.3,16.0,прак. занятие,,ЗМЛ-1912-2,Информационные технологии и системы в управлении,14,314 (I),асс. Истомин Александр Владимирович
71,19.02.2022суббота,16.1,17.4,прак. занятие,,ЗМЛ-1912-1,Информационные технологии и системы в управлении,15,313а (I),асс. Малых Алексей Николаевич
72,19.02.2022суббота,16.1,17.4,прак. занятие,,ЗМЛ-1912-2,Информационные технологии и системы в управлении,14,314 (I),асс. Истомин Александр Владимирович
73,21.02.2022понедельник,9.0,10.3,прак. занятие,ЗМЛ-1912,,Математика,29,533 (I),проф. Максимова Людмила Анатольевна
74,21.02.2022понедельник,10.4,12.1,прак. занятие,ЗМЛ-1912,,Математика,29,533 (I),проф. Максимова Людмила Анатольевна
75,21.02.2022понедельник,12.2,13.5,прак. занятие,ЗМЛ-1912,,Экономическая теория,29,507 (I),доц. Комов Михаил Сергеевич
76,21.02.2022понедельник,14.3,16.0,прак. занятие,ЗМЛ-1912,,Экономическая теория,29,507 (I),доц. Комов Михаил Сергеевич
77,22.02.2022вторник,12.2,13.5,зачет,ЗМЛ-1912,,Техники публичного выступления,29,528 (I),ст. преп. Банцер Екатерина Игоревна
78,22.02.2022вторник,14.3,16.0,зачет,ЗМЛ-1912,,Техники публичного выступления,29,528 (I),ст. преп. Банцер Екатерина Игоревна
79,22.02.2022вторник,16.1,17.4,зачет,ЗМЛ-1912,,Управление конфликтами,29,523 (I),доц. Паньшин Александр Игоревич
80,22.02.2022вторник,17.5,19.2,зачет,ЗМЛ-1912,,Управление конфликтами,29,523 (I),доц. Паньшин Александр Игоревич
81,24.02.2022четверг,9.0,10.3,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,История транспорта,106,516 (I),доц. Блонский Леонид Владимирович
82,24.02.2022четверг,10.4,12.1,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,История транспорта,106,516 (I),доц. Блонский Леонид Владимирович
83,24.02.2022четверг,12.2,13.5,экзамен,ЗМЛ-1912,,Цифровая экономика,29,372 (II),ст. преп. Танифа Дмитрий Сергеевич
84,24.02.2022четверг,14.3,16.0,экзамен,ЗМЛ-1912,,Цифровая экономика,29,372 (II),ст. преп. Танифа Дмитрий Сергеевич
85,25.02.2022пятница,12.2,13.5,зачет,ЗМЛ-1912,,Основы комплексной безопасности,29,110 (III),доц. Шевченко Виктория Борисовна
86,25.02.2022пятница,14.3,16.0,зачет,ЗМЛ-1912,,Основы комплексной безопасности,29,110 (III),доц. Шевченко Виктория Борисовна
87,26.02.2022суббота,9.0,10.3,прак. занятие,ЗМЛ-1912,,Правовая культура,29,507 (I),ст. преп. Шакеров Рустам Равилевич
88,26.02.2022суббота,10.4,12.1,прак. занятие,ЗМЛ-1912,,Правовая культура,29,507 (I),ст. преп. Шакеров Рустам Равилевич
89,26.02.2022суббота,12.2,13.5,прак. занятие,ЗМЛ-1912,,Философия и основы критического мышления,29,524 (I),асс. Синицына-Солодкая Екатерина Владимировна
90,26.02.2022суббота,14.3,16.0,прак. занятие,ЗМЛ-1912,,Философия и основы критического мышления,29,524 (I),асс. Синицына-Солодкая Екатерина Владимировна
91,11.05.2022среда,12.2,13.5,прак. занятие,ЗМЛ-1912,,Экономическая теория,29,507 (I),доц. Комов Михаил Сергеевич
92,11.05.2022среда,14.3,16.0,прак. занятие,ЗМЛ-1912,,Экономическая теория,29,507 (I),доц. Комов Михаил Сергеевич
93,11.05.2022среда,16.1,17.4,прак. занятие,ЗМЛ-1912,,Философия и основы критического мышления,29,533 (I),асс. Синицына-Солодкая Екатерина Владимировна
94,11.05.2022среда,17.5,19.2,прак. занятие,ЗМЛ-1912,,Философия и основы критического мышления,29,533 (I),асс. Синицына-Солодкая Екатерина Владимировна
95,12.05.2022четверг,10.4,12.1,прак. занятие,ЗМЛ-1912,,Математика,29,524 (I),проф. Максимова Людмила Анатольевна
96,12.05.2022четверг,12.2,13.5,прак. занятие,ЗМЛ-1912,,Математика,29,524 (I),проф. Максимова Людмила Анатольевна
97,12.05.2022четверг,14.3,16.0,прак. занятие,,ЗМЛ-1912-2,Информационные технологии и системы в управлении,14,222г (I),асс. Истомин Александр Владимирович
98,12.05.2022четверг,14.3,16.0,прак. занятие,,ЗМЛ-1912-1,Информационные технологии и системы в управлении,15,222б (I),асс. Малых Алексей Николаевич
99,12.05.2022четверг,16.1,17.4,прак. занятие,,ЗМЛ-1912-2,Информационные технологии и системы в управлении,14,222г (I),асс. Истомин Александр Владимирович
100,12.05.2022четверг,16.1,17.4,прак. занятие,,ЗМЛ-1912-1,Информационные технологии и системы в управлении,15,222б (I),асс. Малых Алексей Николаевич
101,12.05.2022четверг,17.5,19.2,прак. занятие,,ЗМЛ-1912-1,Информационные технологии и системы в управлении,15,222б (I),асс. Малых Алексей Николаевич
102,12.05.2022четверг,17.5,19.2,прак. занятие,,ЗМЛ-1912-2,Информационные технологии и системы в управлении,14,222г (I),асс. Истомин Александр Владимирович
103,13.05.2022пятница,9.0,10.3,зачет,ЗМЛ-1912,,Иностранный язык (английский),29,319 (I),асс. Носкова Анна Ивановна
104,13.05.2022пятница,10.4,12.1,зачет,ЗМЛ-1912,,Иностранный язык (английский),29,319 (I),асс. Носкова Анна Ивановна
105,13.05.2022пятница,12.2,13.5,зачет,ЗМЛ-1912,,Россия в глобальной истории,29,532 (I),доц. Блонский Леонид Владимирович
106,13.05.2022пятница,14.3,16.0,зачет,ЗМЛ-1912,,Россия в глобальной истории,29,532 (I),доц. Блонский Леонид Владимирович
107,13.05.2022пятница,16.1,16.55,консультация,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Математика,106,516 (I),проф. Максимова Людмила Анатольевна
108,14.05.2022суббота,9.0,10.3,зачет,ЗМЛ-1912,,Правовая культура,29,507 (I),ст. преп. Шакеров Рустам Равилевич
109,14.05.2022суббота,10.4,12.1,зачет,ЗМЛ-1912,,Правовая культура,29,507 (I),ст. преп. Шакеров Рустам Равилевич
110,14.05.2022суббота,14.3,16.0,"прак. занятие, вебинар Teams",ЗМЛ-1912,,Физическая культура и спорт,29,,доц. Никольская Татьяна Вячеславовна
111,14.05.2022суббота,16.1,17.4,"прак. занятие, вебинар Teams",ЗМЛ-1912,,Физическая культура и спорт,29,,доц. Никольская Татьяна Вячеславовна
112,14.05.2022суббота,17.5,19.2,"прак. занятие, вебинар Teams",ЗМЛ-1912,,Физическая культура и спорт,29,,доц. Никольская Татьяна Вячеславовна
113,14.05.2022суббота,19.3,21.0,"прак. занятие, вебинар Teams",ЗМЛ-1912,,Физическая культура и спорт,29,,доц. Никольская Татьяна Вячеславовна
114,17.05.2022вторник,10.4,11.25,консультация,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Экономическая теория,106,516 (I),доц. Комов Михаил Сергеевич
115,17.05.2022вторник,11.3,12.15,консультация,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Информационные технологии и системы в управлении,106,516 (I),доц. Неваров Павел Анатольевич
116,18.05.2022среда,12.2,13.5,защита к.р. №1,ЗМЛ-1912,,Математика,29,514 (I),проф. Максимова Людмила Анатольевна
117,18.05.2022среда,14.3,16.0,экзамен,ЗМЛ-1912,,Математика,29,514 (I),проф. Максимова Людмила Анатольевна
118,18.05.2022среда,16.1,17.4,экзамен,ЗМЛ-1912,,Математика,29,514 (I),проф. Максимова Людмила Анатольевна
119,19.05.2022четверг,12.2,13.5,экзамен,ЗМЛ-1912,,Экономическая теория,29,512 (I),доц. Комов Михаил Сергеевич
120,19.05.2022четверг,14.3,16.0,экзамен,ЗМЛ-1912,,Экономическая теория,29,512 (I),доц. Комов Михаил Сергеевич
121,19.05.2022четверг,16.1,17.4,прак. занятие,ЗМЛ-1912,,История транспорта,29,533 (I),доц. Блонский Леонид Владимирович
122,19.05.2022четверг,17.5,19.2,прак. занятие,ЗМЛ-1912,,История транспорта,29,533 (I),доц. Блонский Леонид Владимирович
123,19.05.2022четверг,19.3,20.15,консультация,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Философия и основы критического мышления,106,520 (I),ст. преп. Лонский Ярослав Александрович
124,20.05.2022пятница,12.2,13.5,зачет,ЗМЛ-1912,,Физическая культура и спорт,29,522 (I),доц. Блонский Леонид Владимирович
125,20.05.2022пятница,14.3,16.0,зачет,ЗМЛ-1912,,Физическая культура и спорт,29,522 (I),доц. Блонский Леонид Владимирович
126,20.05.2022пятница,16.1,17.4,экзамен,ЗМЛ-1912,,Информационные технологии и системы в управлении,29,222б (I),доц. Неваров Павел Анатольевич
127,20.05.2022пятница,17.5,19.2,экзамен,ЗМЛ-1912,,Информационные технологии и системы в управлении,29,222б (I),доц. Неваров Павел Анатольевич
128,11.07.2022понедельник,12.2,13.5,экзамен,ЗМЛ-1912,,Философия и основы критического мышления,29,429а (I),ст. преп. Лонский Ярослав Александрович
129,11.07.2022понедельник,14.3,16.0,экзамен,ЗМЛ-1912,,Философия и основы критического мышления,29,429а (I),ст. преп. Лонский Ярослав Александрович
130,12.07.2022вторник,12.2,13.5,зачет,ЗМЛ-1912,,История транспорта,29,522 (I),доц. Блонский Леонид Владимирович
131,12.07.2022вторник,14.3,16.0,зачет,ЗМЛ-1912,,История транспорта,29,522 (I),доц. Блонский Леонид Владимирович
1,13.12.2021понедельник,12.2,13.5,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Россия в глобальной истории,106,516 (I),доц. Блонский Леонид Владимирович
2,13.12.2021понедельник,14.3,16.0,лекция,"ЗМЛ-1911, ЗМЛ-1912, ЗМЛ-1913, ЗМЛ-1914",,Россия в глобальной истории,106,516 (I),доц. Блонский Леонид Владимирович
